Date,Type,Details,Workout,Pre Workout
2024-06-05,gym/run,"['weights', 'run']","Workout for 2024-06-05:

Dumbbell Bench for max set of 20 reps
Bench for max set of 1 reps

Intermediate distance sprints or Endurance Treadmill

70 squats",['break' 'squats']
2024-06-04,off,[],"Workout for 2024-06-04:

70 squats

Off Day

70 squats",['squats' 'squats']
2024-06-03,gym,['cf'],"Workout for 2024-06-03:

68 push ups

Friday 2024-05-31 Crossfit Workout

70 squats",['push ups' 'squats']
2024-06-02,run,['run'],"Workout for 2024-06-02:

Long distance run or Endurance Bike

70 squats",['break' 'squats']
2024-06-01,run,['run'],"Workout for 2024-06-01:

Long distance run or Endurance Ski machine
",['break' 'break']
2024-05-31,gym,['weights'],"Workout for 2024-05-31:

Bench for max set of 14 reps
Snatch for max set of 15 reps

70 squats",['break' 'squats']
2024-05-30,off,[],"Workout for 2024-05-30:

70 squats

Off Day

97 sit ups",['squats' 'sit ups']
2024-05-29,run/gym,"['machine', 'cf']","Workout for 2024-05-29:

Endurance Ski machine

Toes to bar
Saturday 2024-05-25 Crossfit Workout

68 push ups",['break' 'push ups']
2024-05-28,off,[],"Workout for 2024-05-28:

Off Day

68 push ups",['break' 'push ups']
2024-05-27,gym,"['abs', 'weights']","Workout for 2024-05-27:

97 sit ups

Ab workout
Dumbbell Overhead Press for max set of 19 reps
Snatch for max set of 10 reps (if time persists)

70 squats",['sit ups' 'squats']
2024-05-26,run,['run'],"Workout for 2024-05-26:

97 sit ups

Long distance run or Intermediate Bike

68 push ups",['sit ups' 'push ups']
2024-05-25,run,['run'],"Workout for 2024-05-25:

70 squats

Long distance run or Short spurts Ski machine

97 sit ups",['squats' 'sit ups']
2024-05-24,gym,"['abs', 'weights']","Workout for 2024-05-24:

97 sit ups

Hang pull ups
Ab workout
Endurance Stairmaster
 (if time persists)

68 push ups",['sit ups' 'push ups']
2024-05-23,off,[],"Workout for 2024-05-23:

68 push ups

Off Day

97 sit ups",['push ups' 'sit ups']
2024-05-22,gym/run,"['weights', 'run']","Workout for 2024-05-22:

Hold plank as long as possible
Saturday 2024-05-18 Crossfit Workout (if time persists)

Long distance run or Short spurts Stairmaster

97 sit ups",['break' 'sit ups']
2024-05-21,off,[],"Workout for 2024-05-21:

97 sit ups

Off Day

68 push ups",['sit ups' 'push ups']
2024-05-20,gym,['cf'],"Workout for 2024-05-20:

Friday 2024-05-17 Crossfit Workout

70 squats",['break' 'squats']
2024-05-19,run,['run'],"Workout for 2024-05-19:

97 sit ups

Short distance sprints or Intermediate Treadmill
",['sit ups' 'break']
2024-05-18,run,['run'],"Workout for 2024-05-18:

70 squats

Long distance run or Endurance Treadmill

97 sit ups",['squats' 'sit ups']
2024-05-17,gym,['weights'],"Workout for 2024-05-17:

70 squats

Back Squat for max set of 10 reps

97 sit ups",['squats' 'sit ups']
2024-05-16,off,[],"Workout for 2024-05-16:

Off Day
",['break' 'break']
2024-05-15,run/gym,"['machine', 'cf']","Workout for 2024-05-15:

97 sit ups

Endurance Row

Wednesday 2024-05-15 Crossfit Workout
",['sit ups' 'break']
2024-05-14,off,[],"Workout for 2024-05-14:

68 push ups

Off Day
",['push ups' 'break']
2024-05-13,gym,"['abs', 'weights']","Workout for 2024-05-13:

68 push ups

Ab workout
Thursday 2024-05-09 Crossfit Workout (if time persists)

97 sit ups",['push ups' 'sit ups']
2024-05-12,run,['run'],"Workout for 2024-05-12:

Long distance run or Endurance Bike

68 push ups",['break' 'push ups']
2024-05-11,run,['run'],"Workout for 2024-05-11:

Long distance run or Intermediate Row
",['break' 'break']
2024-05-10,gym,"['abs', 'weights']","Workout for 2024-05-10:

97 sit ups

Ab workout
Row for max set of 1 reps
Deadlift for max set of 15 reps (if time persists)

68 push ups",['sit ups' 'push ups']
2024-05-09,off,[],"Workout for 2024-05-09:

Off Day

68 push ups",['break' 'push ups']
2024-05-08,gym/run,"['weights', 'run']","Workout for 2024-05-08:

70 squats

Overhead Squat for max set of 10 reps
Front Squat for max set of 5 reps

Long distance run or Endurance Treadmill
",['squats' 'break']
2024-05-07,off,[],"Workout for 2024-05-07:

68 push ups

Off Day
",['push ups' 'break']
2024-05-06,gym,['cf'],"Workout for 2024-05-06:

97 sit ups

Quinn's workout

78 push ups",['sit ups' 'push ups']
2024-05-05,run,['run'],"Workout for 2024-05-05:

97 sit ups

Long distance run or Intermediate Treadmill
",['sit ups' 'break']
2024-05-04,run,['run'],"Workout for 2024-05-04:

Long distance run or Bike if weather is unsuitable

78 push ups",['break' 'push ups']
2024-05-03,gym,['weights'],"Workout for 2024-05-03:

Deadlift for max set of 15 reps
Dumbbell Bench for max set of 13 reps

85 squats",['break' 'squats']
2024-05-02,off,[],"Workout for 2024-05-02:

99 sit ups

Off Day
",['sit ups' 'break']
2024-05-01,run/gym,"['machine', 'cf']","Workout for 2024-05-01:

85 squats

Endurance Bike

Sunday 2024-04-28 Crossfit Workout
",['squats' 'break']
2024-04-30,gym/run,"['cf', 'run']","Workout for 2024-04-30:

99 sit ups

Quinn's workout

Long distance run or Treadmill if weather is unsuitable

99 sit ups",['sit ups' 'sit ups']
2024-04-29,off,[],"Workout for 2024-04-29:

Off Day
",['break' 'break']
2024-04-28,run,['run'],"Workout for 2024-04-28:

Long distance run or Stairmaster if weather is unsuitable

85 squats",['break' 'squats']
2024-04-27,gym,['weights'],"Workout for 2024-04-27:

99 sit ups

Dumbbell Bench for max set of 20 reps
Clean for max set of 10 reps

85 squats",['sit ups' 'squats']
2024-04-26,run,['run'],"Workout for 2024-04-26:

85 squats

Short distance sprints or Row if weather is unsuitable

85 squats",['squats' 'squats']
2024-04-25,off,[],"Workout for 2024-04-25:

78 push ups

Off Day

85 squats",['push ups' 'squats']
2024-04-24,gym,['cf'],"Workout for 2024-04-24:

78 push ups

Toes to bar
Saturday 2024-04-20 Crossfit Workout

99 sit ups",['push ups' 'sit ups']
2024-04-23,run/gym,"['weights', 'run']","Workout for 2024-04-23:

Long distance run or Row if weather is unsuitable

Front Squat for max set of 10 reps
Clean for max set of 1 reps
",['break' 'break']
2024-04-22,off,[],"Workout for 2024-04-22:

78 push ups

Off Day

78 push ups",['push ups' 'push ups']
2024-04-21,run,['machine'],"Workout for 2024-04-21:

99 sit ups

Endurance Stairmaster

99 sit ups",['sit ups' 'sit ups']
2024-04-20,gym,"['abs', 'weights']","Workout for 2024-04-20:

78 push ups

Toes to bar
Ab workout
Bench for max set of 5 reps
Front Squat for max set of 10 reps (if time persists)

99 sit ups",['push ups' 'sit ups']
2024-04-19,run,['run'],"Workout for 2024-04-19:

Long distance run or Row if weather is unsuitable

78 push ups",['break' 'push ups']
2024-04-18,off,[],"Workout for 2024-04-18:

78 push ups

Off Day

78 push ups",['push ups' 'push ups']
2024-04-17,gym,"['abs', 'weights']","Workout for 2024-04-17:

85 squats

Ab workout
Clean for max set of 9 reps
Snatch for max set of 1 reps (if time persists)

78 push ups",['squats' 'push ups']
2024-04-16,gym/run,"['cf', 'run']","Workout for 2024-04-16:

Tuesday 2024-04-16 Crossfit Workout

Long distance run or Bike if weather is unsuitable

85 squats",['break' 'squats']
2024-04-15,off,[],"Workout for 2024-04-15:

99 sit ups

Off Day

78 push ups",['sit ups' 'push ups']
2024-04-14,run,['run'],"Workout for 2024-04-14:

99 sit ups

Long distance run or Stairmaster if weather is unsuitable

99 sit ups",['sit ups' 'sit ups']
2024-04-13,gym,['weights'],"Workout for 2024-04-13:

78 push ups

Hold plank as long as possible
Toes to bar
Dumbbell Bench for max set of 5 reps (if time persists)

85 squats",['push ups' 'squats']
2024-04-12,run,['run'],"Workout for 2024-04-12:

78 push ups

Long distance run or Treadmill if weather is unsuitable
",['push ups' 'break']
2024-04-11,off,[],"Workout for 2024-04-11:

99 sit ups

Off Day

85 squats",['sit ups' 'squats']
2024-04-10,gym,['cf'],"Workout for 2024-04-10:

78 push ups

Hold plank as long as possible
Toes to bar
Quinn's workout
",['push ups' 'break']
2024-04-09,run/gym,"['weights', 'run']","Workout for 2024-04-09:

85 squats

Intermediate distance sprints or Bike if weather is unsuitable

Toes to bar
Bench for max set of 15 reps (if time persists)

85 squats",['squats' 'squats']
2024-04-08,off,[],"Workout for 2024-04-08:

99 sit ups

Off Day

85 squats",['sit ups' 'squats']
2024-04-07,run,['machine'],"Workout for 2024-04-07:

78 push ups

Intermediate Row

85 squats",['push ups' 'squats']
2024-04-06,gym,"['abs', 'weights']","Workout for 2024-04-06:

Hang pull ups
Ab workout
Endurance Stairmaster (if time persists)

78 push ups",['break' 'push ups']
2024-04-05,run,['run'],"Workout for 2024-04-05:

78 push ups

Long distance run or Bike if weather is unsuitable

85 squats",['push ups' 'squats']
2024-04-04,off,[],"Workout for 2024-04-04:

78 push ups

Off Day
",['push ups' 'break']
2024-04-03,gym,"['abs', 'weights']","Workout for 2024-04-03:

85 squats

Ab workout
Overhead Squat for max set of 1 reps
Row for max set of 1 reps (if time persists)

99 sit ups",['squats' 'sit ups']
2024-04-02,gym/run,"['cf', 'run']","Workout for 2024-04-02:

Hang pull ups
Wednesday 2024-03-27 Crossfit Workout

Long distance run or Treadmill if weather is unsuitable

85 squats",['break' 'squats']
2024-04-01,off,[],"Workout for 2024-04-01:

78 push ups

Off Day

78 push ups",['push ups' 'push ups']
2024-03-31,run,['run'],"Workout for 2024-03-31:

99 sit ups

Long distance run or Row if weather is unsuitable

99 sit ups",['sit ups' 'sit ups']
2024-03-30,gym,['weights'],"Workout for 2024-03-30:

99 sit ups

Back Squat for max set of 10 reps
Snatch for max set of 5 reps
",['sit ups' 'break']
2024-03-29,run,['run'],"Workout for 2024-03-29:

78 push ups

Long distance run or Stairmaster if weather is unsuitable
",['push ups' 'break']
2024-03-28,off,[],"Workout for 2024-03-28:

Off Day

85 squats",['break' 'squats']
2024-03-27,gym,['cf'],"Workout for 2024-03-27:

Sunday 2024-03-24 Crossfit Workout

85 squats",['break' 'squats']
2024-03-26,run/gym,"['weights', 'run']","Workout for 2024-03-26:

85 squats

Long distance run or Row if weather is unsuitable

Hang pull ups
Overhead Press for max set of 10 reps
Dumbbell Overhead Press for max set of 10 reps (if time persists)

99 sit ups",['squats' 'sit ups']
2024-03-25,off,[],"Workout for 2024-03-25:

99 sit ups

Off Day

99 sit ups",['sit ups' 'sit ups']
2024-03-24,run,['machine'],"Workout for 2024-03-24:

Endurance Stairmaster
",['break' 'break']
2024-03-23,gym,"['abs', 'weights']","Workout for 2024-03-23:

99 sit ups

Ab workout
Snatch for max set of 5 reps (if time persists)

99 sit ups",['sit ups' 'sit ups']
2024-03-22,run,['run'],"Workout for 2024-03-22:

78 push ups

Long distance run or Stairmaster if weather is unsuitable

99 sit ups",['push ups' 'sit ups']
2024-03-21,off,[],"Workout for 2024-03-21:

78 push ups

Off Day

78 push ups",['push ups' 'push ups']
2024-03-20,gym,"['abs', 'weights']","Workout for 2024-03-20:

78 push ups

Hold plank as long as possible
Toes to bar
Ab workout
Quinn's workout (if time persists)

85 squats",['push ups' 'squats']
2024-03-19,gym/run,"['cf', 'run']","Workout for 2024-03-19:

Hang pull ups
Thursday 2024-03-14 Crossfit Workout

Long distance run or Bike if weather is unsuitable

85 squats",['break' 'squats']
2024-03-18,off,[],"Workout for 2024-03-18:

85 squats

Off Day
",['squats' 'break']
2024-03-17,run,['run'],"Workout for 2024-03-17:

85 squats

Long distance run or Row if weather is unsuitable
",['squats' 'break']
2024-03-16,gym,['weights'],"Workout for 2024-03-16:

78 push ups

Dumbbell Bench for max set of 15 reps
Front Squat for max set of 1 reps

85 squats",['push ups' 'squats']
2024-03-15,run,['run'],"Workout for 2024-03-15:

99 sit ups

Long distance run or Treadmill if weather is unsuitable

99 sit ups",['sit ups' 'sit ups']
2024-03-14,off,[],"Workout for 2024-03-14:

85 squats

Off Day
",['squats' 'break']
2024-03-13,gym,['cf'],"Workout for 2024-03-13:

78 push ups

Hang pull ups
Quinn's workout
",['push ups' 'break']
2024-03-12,run/gym,"['weights', 'run']","Workout for 2024-03-12:

78 push ups

Long distance run or Stairmaster if weather is unsuitable

Hold plank as long as possible
Intermediate Row
 (if time persists)

78 push ups",['push ups' 'push ups']
2024-03-11,off,[],"Workout for 2024-03-11:

85 squats

Off Day
",['squats' 'break']
2024-03-10,run,['machine'],"Workout for 2024-03-10:

78 push ups

Intermediate Treadmill

78 push ups",['push ups' 'push ups']
2024-03-09,gym,"['abs', 'weights']","Workout for 2024-03-09:

Ab workout
Dumbbell Overhead Press for max set of 20 reps
Bench for max set of 5 reps (if time persists)

85 squats",['break' 'squats']
2024-03-08,run,['run'],"Workout for 2024-03-08:

78 push ups

Long distance run or Treadmill if weather is unsuitable

78 push ups",['push ups' 'push ups']
2024-03-07,off,[],"Workout for 2024-03-07:

78 push ups

Off Day

78 push ups",['push ups' 'push ups']
2024-03-06,gym,"['abs', 'weights']","Workout for 2024-03-06:

85 squats

Hold plank as long as possible
Ab workout
Snatch for max set of 10 reps
Back Squat for max set of 10 reps (if time persists)

99 sit ups",['squats' 'sit ups']
2024-03-05,gym/run,"['cf', 'run']","Workout for 2024-03-05:

99 sit ups

Quinn's workout

Short distance sprints or Row if weather is unsuitable
",['sit ups' 'break']
2024-03-04,off,[],"Workout for 2024-03-04:

85 squats

Off Day

99 sit ups",['squats' 'sit ups']
2024-03-03,run,['run'],"Workout for 2024-03-03:

99 sit ups

Long distance run or Bike if weather is unsuitable
",['sit ups' 'break']
2024-03-02,gym,['weights'],"Workout for 2024-03-02:

85 squats

Bench for max set of 10 reps
Snatch for max set of 15 reps
",['squats' 'break']
2024-03-01,run,['run'],"Workout for 2024-03-01:

85 squats

Short distance sprints or Bike if weather is unsuitable

99 sit ups",['squats' 'sit ups']
2024-02-29,off,[],"Workout for 2024-02-29:

78 push ups

Off Day
",['push ups' 'break']
2024-02-28,gym,['cf'],"Workout for 2024-02-28:

78 push ups

Wednesday 2024-02-28 Crossfit Workout

99 sit ups",['push ups' 'sit ups']
2024-02-27,run/gym,"['weights', 'run']","Workout for 2024-02-27:

99 sit ups

Long distance run or Treadmill if weather is unsuitable

Toes to bar
Dumbbell Row for max set of 10 reps
Front Squat for max set of 15 reps (if time persists)
",['sit ups' 'break']
2024-02-26,off,[],"Workout for 2024-02-26:

78 push ups

Off Day
",['push ups' 'break']
2024-02-25,run,['machine'],"Workout for 2024-02-25:

78 push ups

Endurance Stairmaster

99 sit ups",['push ups' 'sit ups']
2024-02-24,gym,"['abs', 'weights']","Workout for 2024-02-24:

78 push ups

Ab workout
Endurance Stairmaster (if time persists)
",['push ups' 'break']
2024-02-23,run,['run'],"Workout for 2024-02-23:

85 squats

Long distance run or Treadmill if weather is unsuitable

85 squats",['squats' 'squats']
2024-02-22,off,[],"Workout for 2024-02-22:

Off Day

99 sit ups",['break' 'sit ups']
2024-02-21,gym,"['abs', 'weights']","Workout for 2024-02-21:

85 squats

Ab workout
Clean for max set of 10 reps
Bench for max set of 15 reps (if time persists)

85 squats",['squats' 'squats']
2024-02-20,gym/run,"['cf', 'run']","Workout for 2024-02-20:

78 push ups

Hold plank as long as possible
Hang pull ups
Toes to bar
Quinn's workout

Long distance run or Row if weather is unsuitable

78 push ups",['push ups' 'push ups']
2024-02-19,off,[],"Workout for 2024-02-19:

78 push ups

Off Day

99 sit ups",['push ups' 'sit ups']
2024-02-18,run,['run'],"Workout for 2024-02-18:

Long distance run or Bike if weather is unsuitable

78 push ups",['break' 'push ups']
2024-02-17,gym,['weights'],"Workout for 2024-02-17:

85 squats

Hang pull ups
Endurance Row (if time persists)

78 push ups",['squats' 'push ups']
2024-02-16,run,['run'],"Workout for 2024-02-16:

99 sit ups

Long distance run or Treadmill if weather is unsuitable

99 sit ups",['sit ups' 'sit ups']
2024-02-15,off,[],"Workout for 2024-02-15:

78 push ups

Off Day

85 squats",['push ups' 'squats']
2024-02-14,gym,['cf'],"Workout for 2024-02-14:

85 squats

Toes to bar
Quinn's workout

78 push ups",['squats' 'push ups']
2024-02-13,run/gym,"['weights', 'run']","Workout for 2024-02-13:

Long distance run or Row if weather is unsuitable

Dumbbell Overhead Press for max set of 10 reps
Overhead Squat for max set of 10 reps
",['break' 'break']
2024-02-12,off,[],"Workout for 2024-02-12:

99 sit ups

Off Day

78 push ups",['sit ups' 'push ups']
2024-02-11,run,['machine'],"Workout for 2024-02-11:

85 squats

Endurance Row
",['squats' 'break']
2024-02-10,gym,"['abs', 'weights']","Workout for 2024-02-10:

Ab workout
Endurance Bike (if time persists)
",['break' 'break']
2024-02-09,run,['run'],"Workout for 2024-02-09:

85 squats

Very long distance run or Treadmill if weather is unsuitable

78 push ups",['squats' 'push ups']
2024-02-08,off,[],"Workout for 2024-02-08:

99 sit ups

Off Day

78 push ups",['sit ups' 'push ups']
2024-02-07,gym,"['abs', 'weights']","Workout for 2024-02-07:

99 sit ups

Toes to bar
Ab workout
Clean for max set of 10 reps
Snatch for max set of 5 reps (if time persists)

85 squats",['sit ups' 'squats']
2024-02-06,gym/run,"['cf', 'run']","Workout for 2024-02-06:

Toes to bar
Quinn's workout

Long distance run or Treadmill if weather is unsuitable

99 sit ups",['break' 'sit ups']
2024-02-05,off,[],"Workout for 2024-02-05:

78 push ups

Off Day
",['push ups' 'break']
2024-02-04,run,['run'],"Workout for 2024-02-04:

Long distance run or Stairmaster if weather is unsuitable

99 sit ups",['break' 'sit ups']
2024-02-03,gym,['weights'],"Workout for 2024-02-03:

78 push ups

Dumbbell Bench for max set of 10 reps
Snatch for max set of 5 reps

78 push ups",['push ups' 'push ups']
2024-02-02,run,['run'],"Workout for 2024-02-02:

Intermediate distance sprints or Treadmill if weather is unsuitable

99 sit ups",['break' 'sit ups']
2024-02-01,off,[],"Workout for 2024-02-01:

Off Day

99 sit ups",['break' 'sit ups']
2024-01-31,gym,['cf'],"Workout for 2024-01-31:

99 sit ups

Hold plank as long as possible
Quinn's workout

99 sit ups",['sit ups' 'sit ups']
2024-01-30,run/gym,"['weights', 'run']","Workout for 2024-01-30:

99 sit ups

Long distance run or Bike if weather is unsuitable

Row for max set of 15 reps
Clean for max set of 5 reps

85 squats",['sit ups' 'squats']
2024-01-29,off,[],"Workout for 2024-01-29:

78 push ups

Off Day

78 push ups",['push ups' 'push ups']
2024-01-28,run,['machine'],"Workout for 2024-01-28:

78 push ups

Endurance Treadmill

78 push ups",['push ups' 'push ups']
2024-01-27,gym,"['abs', 'weights']","Workout for 2024-01-27:

85 squats

Hang pull ups
Ab workout
Dumbbell Overhead Press for max set of 5 reps
Overhead Press for max set of 1 reps (if time persists)

99 sit ups",['squats' 'sit ups']
2024-01-26,run,['run'],"Workout for 2024-01-26:

78 push ups

Long distance run or Stairmaster if weather is unsuitable

99 sit ups",['push ups' 'sit ups']
2024-01-25,off,[],"Workout for 2024-01-25:

99 sit ups

Off Day
",['sit ups' 'break']
2024-01-24,gym,"['abs', 'weights']","Workout for 2024-01-24:

78 push ups

Hold plank as long as possible
Toes to bar
Ab workout
Intermediate Row (if time persists)
",['push ups' 'break']
2024-01-23,gym/run,"['cf', 'run']","Workout for 2024-01-23:

85 squats

Toes to bar
Quinn's workout

Long distance run or Stairmaster if weather is unsuitable
",['squats' 'break']
2024-01-22,off,[],"Workout for 2024-01-22:

Off Day

99 sit ups",['break' 'sit ups']
2024-01-21,run,['run'],"Workout for 2024-01-21:

99 sit ups

Intermediate distance sprints or Row if weather is unsuitable
",['sit ups' 'break']
2024-01-20,gym,['weights'],"Workout for 2024-01-20:

78 push ups

Hold plank as long as possible
Endurance Row (if time persists)

99 sit ups",['push ups' 'sit ups']
2024-01-19,run,['run'],"Workout for 2024-01-19:

85 squats

Long distance run or Treadmill if weather is unsuitable
",['squats' 'break']
2024-01-18,off,[],"Workout for 2024-01-18:

85 squats

Off Day

78 push ups",['squats' 'push ups']
2024-01-17,gym,['cf'],"Workout for 2024-01-17:

85 squats

Hold plank as long as possible
Quinn's workout

85 squats",['squats' 'squats']
2024-01-16,run/gym,"['weights', 'run']","Workout for 2024-01-16:

Intermediate distance sprints or Bike if weather is unsuitable

Deadlift for max set of 10 reps
Dumbbell Overhead Press for max set of 20 reps

85 squats",['break' 'squats']
2024-01-15,off,[],"Workout for 2024-01-15:

Off Day

85 squats",['break' 'squats']
2024-01-14,run,['machine'],"Workout for 2024-01-14:

Intermediate Stairmaster
",['break' 'break']
2024-01-13,gym,"['abs', 'weights']","Workout for 2024-01-13:

85 squats

Ab workout
Endurance Row (if time persists)

99 sit ups",['squats' 'sit ups']
2024-01-12,run,['run'],"Workout for 2024-01-12:

78 push ups

Long distance run or Row if weather is unsuitable

85 squats",['push ups' 'squats']
2024-01-11,off,[],"Workout for 2024-01-11:

85 squats

Off Day

85 squats",['squats' 'squats']
2024-01-10,gym,"['abs', 'weights']","Workout for 2024-01-10:

Hold plank as long as possible
Hang pull ups
Ab workout
Front Squat for max set of 1 reps
Row for max set of 5 reps (if time persists)

73 sit ups",['break' 'sit ups']
2024-01-09,gym/run,"['cf', 'run']","Workout for 2024-01-09:

Break

Hang pull ups
Tuesday 2024-01-09 Crossfit Workout

Long distance run or Treadmill if weather is unsuitable

50 Sit ups",['break' 'sit ups']
2024-01-08,off,[],"Workout for 2024-01-08:

50 Sit ups

Off Day

Break",['sit ups' 'break']
2024-01-07,run,['machine'],"Workout for 2024-01-07:

50 Sit ups

Endurance Jacob's Ladder

50 Sit ups",
2024-01-06,gym,['weights'],"Workout for 2024-01-06:

50 Push ups

Front Squat for max set of 5 reps
Deadlift for max set of 10 reps

50 Push ups",
2024-01-05,run,['run'],"Workout for 2024-01-05:

50 Sit ups

Long distance run or Treadmill if weather is unsuitable

50 Sit ups",
2024-01-04,off,[],"Workout for 2024-01-04:

Break

Off Day

50 Sit ups",
2024-01-03,gym,['cf'],"Workout for 2024-01-03:

50 Push ups

Wednesday 2024-01-03 Crossfit Workout

Break",
2024-01-02,run/gym,"['weights', 'run']","Workout for 2024-01-02:

50 Squats

Long distance run or Treadmill if weather is unsuitable

Hang pull ups
Dumbbell Overhead Press for max set of 20 reps
Front Squat for max set of 5 reps (if time persists)

Break",
2024-01-01,off,[],"Workout for 2024-01-01:

Break

Off Day

Break",
2023-12-31,off,[],"Workout for 2023-12-31:

Break

Off Day

50 Squats",
2023-12-30,run,['run'],"Workout for 2023-12-30:

50 Push ups

Long distance run or Jacob's Ladder if weather is unsuitable

Break",
2023-12-29,gym,['cf'],"Workout for 2023-12-29:

Break

Quinn's workout

50 Push ups",
2023-12-28,run,['run'],"Workout for 2023-12-28:

50 Push ups

Long distance run or Treadmill if weather is unsuitable

50 Sit ups",
2023-12-27,off,[],"Workout for 2023-12-27:

50 Push ups

Off Day

50 Squats",
